name, address, review, score
커피별바다잔, 제주특별자치도 제주시 한경면 한장서길 43, 0, 0.0
노을해안1014, 제주특별자치도 제주시 한경면 노을해안로 1014 1/2층, 57, 4.5
수월해지다, 제주특별자치도 제주시 한경면 고산리 3760 수월봉 팔각정 1층, 13, 3.5
카페다금바리스타, 제주특별자치도 제주시 한경면 노을해안로 1166 1층, 13, 4.9
바람과언덕, 제주특별자치도 제주시 한경면 노을해안로 1203-4, 1, 4.0
아리아커피, 제주특별자치도 제주시 한경면 노을해안로 1174 마동 1층, 1, 3.0
제피로스, 제주특별자치도 제주시 한경면 한경해안로 93-32 1층, 9, 4.9
카페데스틸, 제주특별자치도 제주시 한경면 한경해안로 110, 32, 4.2
빈2020, 제주특별자치도 제주시 한경면 한경해안로 120, 20, 4.9
제주늘보의오후 카페, 제주특별자치도 제주시 한경면 한경해안로 176, 0, 5.0
카페해안, 제주특별자치도 제주시 한경면 한경해안로 136 1층, 0, 0.0
옹다방, 제주특별자치도 제주시 한경면 한경해안로 420, 19, 4.4
노을과어울림, 제주특별자치도 서귀포시 대정읍 노을해안로 638, 0, 5.0
카페도구리3083, 제주특별자치도 서귀포시 대정읍 노을해안로 702, 6, 3.7
카페라레온다, 제주특별자치도 서귀포시 대정읍 노을해안로 720 2층, 4, 5.0
카페공유, 제주특별자치도 서귀포시 대정읍 도원로 20, 0, 0.0
안녕구움, 제주특별자치도 제주시 한경면 고산로 49 1층, 45, 4.7
카페로서, 제주특별자치도 제주시 한경면 노을해안로 1249, 4, 4.7
차담제, 제주특별자치도 제주시 한경면 고산로 28 2층, 0, 0.0
고산별이아름답다, 제주특별자치도 제주시 한경면 고산로 36, 1, 5.0
카페리나, 제주특별자치도 제주시 한경면 고락로 4, 0, 4.5
수월다방, 제주특별자치도 제주시 한경면 고산로 23, 0, 0.0
머물다, 제주특별자치도 서귀포시 안덕면 사계로114번길 53-5, 14, 4.8
커피&커리, 제주특별자치도 제주시 한경면 고산로 40, 0, 0.0
열두달, 제주특별자치도 제주시 한경면 용수길 37, 49, 4.5
클랭블루, 제주특별자치도 제주시 한경면 한경해안로 552-22, 478, 4.5
카페파람, 제주특별자치도 제주시 한경면 한경해안로 470, 24, 4.1
풍차로가는길, 제주특별자치도 제주시 한경면 한경해안로 502-3, 44, 4.0
테이크타임커피로스터스, 제주특별자치도 제주시 한경면 한경해안로 552-21 1층, 8, 5.0
내가여기서이걸할줄몰랐다, 제주특별자치도 제주시 한경면 한경해안로 565, 5, 0.0
골든망고 신창풍차해안본점, 제주특별자치도 제주시 한경면 한경해안로 485, 0, 5.0
그린구름, 제주특별자치도 제주시 한경면 한경해안로 474-22 그린구름, 1, 5.0
별위별, 제주특별자치도 제주시 한경면 한경해안로 502-3, 0, 0.0
에피소드, 제주특별자치도 제주시 한경면 고조로 62, 0, 3.8
쓰쓰카페, 제주특별자치도 제주시 한경면 성굴로 34-6 1층, 5, 4.5
3인칭관찰자시점, 제주특별자치도 제주시 한경면 신창7길 24 A/B동 1층, 137, 
모몽더티하우스, 제주특별자치도 제주시 한경면 신한로 10 1층, 28, 
요나스, 제주특별자치도 제주시 한경면 신한로 17 1층, 5, 5.0
제주백야, 제주특별자치도 제주시 한경면 두신로 34 1층, 2, 5.0
도르라미, 제주특별자치도 제주시 한경면 일주서로 4264, 0, 0.0
미레이나, 제주특별자치도 제주시 한경면 두모3길 17, 9, 3.6
카페 사분의이, 제주특별자치도 제주시 한경면 두신로 92-7 1층, 39, 4.9
카페두모리에, 제주특별자치도 제주시 한경면 두모11길 52-1 1층, 1, 5.0
벚유, 제주특별자치도 제주시 한경면 두모11길 51, 20, 5.0
루페이퍼, 제주특별자치도 서귀포시 대정읍 서삼중로 217, 20, 3.4
12.제라, 제주특별자치도 서귀포시 대정읍 도원로 202 1/2층, 37, 5.0
신수카페, 제주특별자치도 제주시 한경면 고락로 180-6, 0, 5.0
