"name","address","review","score"
"제주현대미술관","제주특별자치도 제주시 한경면 저지14길 35",182,3.7
"제주도립김창열미술관","제주특별자치도 제주시 한림읍 용금로 883-5",153,4.3
"문화예술 공공수장고","제주특별자치도 제주시 한경면 저지리 2114-1",30,4.5
"제주현대미술관 분관","제주특별자치도 제주시 한경면 저지12길 100",10,4.5
"화가박서보의집","제주특별자치도 제주시 한경면 저지14길 25",0,0.0
"서담 미술관","제주특별자치도 제주시 한경면 저지12길 102",0,5.0
"갤러리데이지","제주특별자치도 제주시 한경면 저지12길 97-12",1,0.0
"피움갤러리","제주특별자치도 제주시 한림읍 한림해안로 321 동덕여자대학교 제주연수원 1층",0,0.0
"갤러리노리","제주특별자치도 제주시 한림읍 용금로 891",1,0.0
"유동룡 이타미준 미술관","제주특별자치도 제주시 한림읍 용금로 906-10",41,2.4
"루나피크닉","제주특별자치도 서귀포시 안덕면 일주서로 1836",3,5.0
"아르떼뮤지엄 제주","제주특별자치도 제주시 애월읍 어림비로 478",1,76.0
"놀라운트릭아이미술관","제주특별자치도 제주시 한림읍 광산로 942",18,5.0
"물미술관","제주특별자치도 서귀포시 안덕면 산록남로762번길 79",0,2.0
"돌미술관","제주특별자치도 제주시 조천읍 북촌서1길 70",115,3.2
"포도뮤지엄","제주특별자치도 서귀포시 안덕면 산록남로 788 포도뮤지엄",158,4.9
"갤러리여름","제주특별자치도 제주시 애월읍 광상로 333-11",0,0.0
"ICC제주갤러리","제주특별자치도 서귀포시 중문관광로 224",1,0.0
"제주도립미술관","제주특별자치도 제주시 1100로 2894-78",58,3.6
"이룸갤러리","제주특별자치도 제주시 일주서로 7827-1 2층",36,4.6
"갤러리오늘","제주특별자치도 제주시 신대로18길 32",1,0.0
"99미술관","제주특별자치도 서귀포시 김정문화로27번길 9-1 10층",0,0.0
"에땅어린이미술관 제주정글센터","제주특별자치도 제주시 연삼로 127-15 에코그린빌7차 106동 지하1층",0,5.0
"제주국제미술관","제주특별자치도 서귀포시 서호남로 65 2층",0,0.0
"대왕 미술관","제주특별자치도 제주시 공설로5길 14",0,0.0
"문화공간제주아트","제주특별자치도 제주시 전농로 107 지하1층",0,0.0
"아라리오뮤지엄 탑동시네마","제주특별자치도 제주시 탑동로 14",96,4.2
"산지천갤러리","제주특별자치도 제주시 중앙로3길 36",25,5.0
"한일갤러리","제주특별자치도 제주시 신산로 103",0,0.0
"자미진갤러리","제주특별자치도 제주시 간월동로 52",0,5.0
"기당미술관","제주특별자치도 서귀포시 남성중로153번길 15",16,4.8
"이중섭미술관","제주특별자치도 서귀포시 이중섭로 27-3",167,3.5
"제주대학교아라캠퍼스 예술디자인대학 미술관","제주특별자치도 제주시 제주대학로 102",1,0.0
"문화공간 양","제주특별자치도 제주시 제주대학로 102",1,0.0
"갤러리2중선농원","제주특별자치도 제주시 영평길 269",1,5.0
"갤러리 하샤마임","제주특별자치도 제주시 청풍남8길 12-2",0,0.0
"제주봄미술관","제주특별자치도 서귀포시 검은여로130번길 68-12",0,4.0
"석화갤러리","제주특별자치도 서귀포시 토평로50번길 9-14",3,0.0
"전재현조천산방","제주특별자치도 제주시 조천읍 와흘상서1길 14-15",0,0.0
"사진말전문갤러리 마음빛그리미","제주특별자치도 서귀포시 남원읍 위미해안로 106",0,3.7
"김택화미술관","제주특별자치도 제주시 조천읍 신흥로 1",64,4.4
"돌하르방미술관","제주특별자치도 제주시 조천읍 북촌서1길 70",115,3.2
"유퉁의엉터리미술관","제주특별자치도 서귀포시 남원읍 태수로 711",0,1.0
"우산미술관","제주특별자치도 제주시 구좌읍 번영로 2172-80",0,0.0
"자연사랑 가시리전시장","제주특별자치도 서귀포시 표선면 가시로613번길 46",1,5.0
"라비미술관","제주특별자치도 제주시 구좌읍 월정중길 13",0,0.0
"김영갑갤러리두모악","제주특별자치도 서귀포시 성산읍 삼달로 137",135,4.1
"사운드로잉갤러리","제주특별자치도 서귀포시 성산읍 신풍하동로 252",0,0.0
"조아가지구","제주특별자치도 서귀포시 성산읍 난산로41번길 39-2",28,5.0
"아라리오 갤러리","제주특별자치도 제주시 구좌읍 하도15길 77",0,0.0
"휘닉스제주 유민미술관","제주특별자치도 서귀포시 성산읍 섭지코지로 107",84,3.3
"우도미술관","제주특별자치도 제주시 우도면 우도해안길 32-12",0,0.0
