num,name,address,review,score
1,엉알해안,제주특별자치도 제주시 한경면 고산리,14,4.6
2,신창풍차해안,제주특별자치도 제주시 한경면 신창리 1290-2,46,4.6
3,협재해수욕장,제주특별자치도 제주시 한림읍 한림로 329-10,726,4.6
4,금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10,140,4.8
5,하모해변,제주특별자치도 서귀포시 대정읍 하모리,9,3.4
6,사계해변,제주특별자치도 서귀포시 안덕면 사계리,49,4.1
7,곽지해수욕장,제주특별자치도 제주시 애월읍 곽지리 1565,465,4.5
8,용머리해안,제주특별자치도 서귀포시 안덕면 사계리,560,4.6
9,황우치해변,제주특별자치도 서귀포시 안덕면 사계리 79-4,5,4.1
10,설쿰바당,제주특별자치도 서귀포시 안덕면 사계리,0,4.5
11,한담해변,제주특별자치도 제주시 애월읍 애월리,36,3.3
12,화순금모래해수욕장,제주특별자치도 서귀포시 안덕면 화순해안로 69,20,2.9
13,논짓물해변,제주특별자치도 서귀포시 하예동,23,3.8
14,중문색달해수욕장,제주특별자치도 서귀포시 색달동 3039,63,4.1
15,알작지해변,제주특별자치도 제주시 내도동 465-2,58,3.8
16,몽돌해변,제주특별자치도 제주시 내도동 465-2,0,3.3
17,이호테우해수욕장,제주특별자치도 제주시 이호일동 1665-13,247,3.8
18,황우지해안,제주특별자치도 서귀포시 천지동 765-7,161,4.2
19,삼양해수욕장,제주특별자치도 제주시 삼양이동 1960-4,51,4.6
20,하효쇠소깍해변,제주특별자치도 서귀포시 하효동 997-3,9,4.3
21,신흥해수욕장,제주특별자치도 제주시 조천읍 신흥리,15,4.4
22,함덕해수욕장,제주특별자치도 제주시 조천읍 조함해안로 525,176,4.5
23,남원큰엉해변,제주특별자치도 서귀포시 남원읍 태위로 522-17,349,4.5
24,김녕해수욕장,제주특별자치도 제주시 구좌읍 해맞이해안로 7-6,89,4.5
25,세기알해변,제주특별자치도 제주시 구좌읍 김녕리 1200-5,17,4.9
26,월정리해수욕장,제주특별자치도 제주시 구좌읍 월정리 33-3,416,4.1
27,코난해변,제주특별자치도 제주시 구좌읍 행원리 575-6,77,4.1
28,표선해수욕장,제주특별자치도 서귀포시 표선면 표선리,63,4.5
29,소금막해변,제주특별자치도 서귀포시 표선면 표선리,8,4.5
30,세화해변,제주특별자치도 제주시 구좌읍 해녀박물관길 27,75,4.5
31,하도해변,제주특별자치도 제주시 구좌읍 하도리,19,4.3
32,종달리해변,제주특별자치도 제주시 구좌읍 종달리 622-5,10,4.3
33,광치기해변,제주특별자치도 서귀포시 성산읍 고성리 224-33,616,4.6
34,광치기중간,제주특별자치도 서귀포시 성산읍 고성리,3,4.6
35,우뭇개해안,제주특별자치도 서귀포시 성산읍 성산리,6,4.5
36,수마포해안,제주특별자치도 서귀포시 성산읍 성산리,2,4
37,우도산호해변,제주특별자치도 제주시 우도면 연평리,35,4.6
38,톨칸이해변,제주특별자치도 제주시 우도면 연평리 1732-1,2,4.3
39,하고수동해변,제주특별자치도 제주시 우도면 연평리,35,4.8
40,검멀레해변,제주특별자치도 제주시 우도면 연평리,45,4.5
41,평대리해수욕장,제주특별자치도 제주시 구좌읍 평대리,29,4.6
